"capability_id","phase_or_source","domain","capability","agenthub_status","agenthub_evidence","ragflow_fit","delegation_recommendation","ragflow_scope","gross_existing_loc_removable_est","future_loc_avoided_est","new_integration_loc_est","net_loc_reduction_est","estimate_confidence","estimate_basis","security_authorization_boundary","ragflow_official_evidence"
"CAP-011","Phase 2 P6","RAG","Governed authored agent system prompt","verified","docs/tasks/phase-2-p6-agent-system-prompt/plan.md; docs/tasks/phase-2-p6-agent-system-prompt/verification.md","partial","hybrid","Render approved prompt into RAGFlow app configuration but retain immutable AgentHub artifact","120","0","150","-30","medium","Runtime prompt assembly moves; governance stays","Only approved immutable prompt versions may be synchronized","https://github.com/infiniflow/ragflow#key-features"
"CAP-012","Phase 2 closure","RAG","Prompt-injection boundary treating retrieved data as untrusted content","partially_implemented","docs/planning/phase-2-plan.md; docs/tasks/phase-2-closure-production-hardening/plan.md","low","retain_agenthub","RAGFlow improves grounding but is not evidence of AgentHub instruction-boundary enforcement","0","0","80","-80","high","Adapter must preserve content labeling and limits","Retrieved chunks remain untrusted and cannot select tools or permissions","https://github.com/infiniflow/ragflow#key-features"
"CAP-013","Phase 2 closure","Governance","Live model cost privacy retention and egress approvals","planned","docs/tasks/phase-2-closure-production-hardening/plan.md; docs/tasks/phase-2-closure-production-hardening/verification.md","low","retain_agenthub","RAGFlow adds another egress and storage boundary rather than eliminating governance","0","0","180","-180","high","Integration requires quotas timeouts retention and destination controls","Explicit approval needed for data egress retention and model providers","https://github.com/infiniflow/ragflow#configurations"
"CAP-014","Sprint 7","Observability","Structured metrics tracing health and operational dashboards","verified_offline","docs/tasks/sprint-7-mcp-metrics-operations/plan.md; docs/tasks/sprint-7-mcp-metrics-operations/verification.md","partial","hybrid","Consume RAGFlow runtime logs and health but retain end-to-end AgentHub telemetry","100","0","220","-120","medium","Some provider metrics removed; correlation exporter added","Propagate trace IDs without secrets or document content","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-015","Cross-cutting","Audit","Security and business audit events with fail-open or fail-closed policy","verified","docs/ai/observability-rules.md; apps/audit/services.py","none","retain_agenthub","RAGFlow runtime logs are not AgentHub authorization and business audit","0","0","160","-160","high","Audit adapter for downstream calls and outcomes","AgentHub owns actor action target authorization decision and outcome","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-016","Sprint 5; Phase 2 P2","Documents","Document upload object storage metadata and content lifecycle","verified_offline","docs/tasks/phase-2-p2-content-plane/plan.md; docs/tasks/phase-2-p2-content-plane/verification.md","high","hybrid","Store parsing copies in RAGFlow but retain AgentHub canonical document metadata and lifecycle","700","0","320","380","medium","Parser-facing blob and duplicate storage services can shrink","Uploads must be authorized scanned and mapped to allowed datasets","https://github.com/infiniflow/ragflow#key-features"
"CAP-017","Phase 2.5 Part 4","Documents","Document sets versions membership publish soft delete and purge","verified","docs/tasks/phase-2-5-part-4-document-set-lifecycle/plan.md; docs/tasks/phase-2-5-part-4-document-set-lifecycle/verification.md","high","hybrid","Map published AgentHub document-set versions to RAGFlow datasets","650","0","320","330","medium","Dataset and membership mechanics can move; product lifecycle remains","No direct client control of dataset mapping or purge","https://ragflow.io/docs/category/user-guides"
"CAP-018","Phase 2 P4","Authorization","Scenario-to-document-set binding and effective retrieval ACL","verified","docs/tasks/phase-2-p4-acl-rls/plan.md; docs/tasks/phase-2-p4-acl-rls/verification.md","partial","retain_agenthub_delegate_search","Pass only server-authorized dataset IDs to RAGFlow retrieval","180","0","260","-80","high","Low removal because the security predicate must remain","Never use RAGFlow search across all datasets then filter afterward","https://github.com/infiniflow/ragflow#key-features"
"CAP-019","Phase 2 P4; P11","Authorization","PostgreSQL RLS and non-owner tenant isolation","verified","docs/tasks/phase-2-p4-acl-rls/verification.md; docs/tasks/phase-2-p11-production-hardening/plan.md","none","retain_agenthub","RAGFlow does not replace AgentHub database RLS","0","0","120","-120","high","Mapping records require their own RLS and denial tests","RAGFlow tenant model is not accepted as equivalent defense in depth","https://github.com/infiniflow/ragflow"
"CAP-020","Phase 2 P7","Ingestion","TXT Markdown and basic structured document parsing","verified","docs/tasks/phase-2-p7-parsers-ocr-connectors/plan.md; docs/tasks/phase-2-p7-parsers-ocr-connectors/verification.md","high","delegate","Use RAGFlow ingestion parsers and keep only format admission and result mapping","450","0","160","290","high","Direct overlap with documented multi-format ingestion","Enforce MIME size type and dataset authorization before upload","https://github.com/infiniflow/ragflow#key-features"
"CAP-021","Phase 2 P7","Ingestion","PDF DOCX XLSX and complex layout parsing","verified","docs/tasks/phase-2-p7-parsers-ocr-connectors/plan.md; docs/tasks/phase-2-p7-parsers-ocr-connectors/verification.md","high","delegate","Use DeepDoc Docling or MinerU parsing through RAGFlow","1000","0","240","760","high","Strong direct overlap with DeepDoc and supported formats","Parser isolation file limits and malicious-document handling remain required","https://github.com/infiniflow/ragflow/tree/main/deepdoc"
"CAP-022","Phase 2 P7","Ingestion","Opt-in OCR and image/table understanding","verified_offline","docs/tasks/phase-2-p7-parsers-ocr-connectors/plan.md; docs/tasks/phase-2-p7-parsers-ocr-connectors/verification.md","high","delegate","Use RAGFlow DeepDoc OCR or VLM parsing","500","0","200","300","high","Direct OCR and layout-recognition overlap","OCR/VLM egress must remain profile-gated and content-limited","https://github.com/infiniflow/ragflow/tree/main/deepdoc"
"CAP-023","Phase 2.5 Part 7","Ingestion","Versioned governed transform and chunking DSL","verified","docs/tasks/phase-2-5-part-7-governed-transform-retrieval-dsl/plan.md; docs/tasks/phase-2-5-part-7-governed-transform-retrieval-dsl/verification.md","high","hybrid","Prefer RAGFlow ingestion templates while retaining an AgentHub allowlisted profile schema","850","0","300","550","medium","Execution engine can move; compatibility validator and translation remain","Never pass arbitrary code or unreviewed pipeline components","https://github.com/infiniflow/ragflow#key-features"
"CAP-024","Phase 2 P3","Ingestion","Embedding profiles SSRF-safe provider calls and vector generation","verified_offline","docs/tasks/phase-2-p3-embeddings/plan.md; docs/tasks/phase-2-p3-embeddings/verification.md","high","delegate_execution","Let RAGFlow call configured embedding models","700","0","260","440","medium","Embedding batching and response handling removed; profile sync added","AgentHub approves model profile destination and secret references","https://github.com/infiniflow/ragflow#key-features"
"CAP-025","Sprint 5; Phase 2 P3","Indexing","Per-index vector store build write search and version staging","verified","docs/tasks/sprint-5-ingestion-pgvector/plan.md; docs/tasks/phase-2-p3-embeddings/verification.md","high","delegate","Use RAGFlow document engine for vector and full-text indexing","1200","0","380","820","medium","Pgvector DAL and index build internals largely replaced","Preserve immutable AgentHub version-to-dataset mapping and rollback metadata","https://github.com/infiniflow/ragflow#configurations"
"CAP-026","Sprint 4; Phase 2 P4","Retrieval","Semantic vector retrieval thresholds top-k and metadata filters","verified","docs/tasks/sprint-4-rag-runtime/plan.md; docs/tasks/phase-2-p4-acl-rls/verification.md","high","delegate","Call RAGFlow retrieval API with authorized dataset IDs and bounded parameters","900","0","300","600","high","Direct retrieval overlap","AgentHub clamps query size top-k filters and result size","https://github.com/infiniflow/ragflow#key-features"
"CAP-027","Phase 2.5 Part 7","Retrieval","Closed retrieval DSL normalization threshold and ACL non-bypass","verified","docs/tasks/phase-2-5-part-7-governed-transform-retrieval-dsl/verification.md","partial","hybrid","Translate allowlisted profiles to RAGFlow retrieval settings","350","0","260","90","medium","Runtime implementation shrinks but validation stays","Dataset allowlist is server-derived and cannot be overridden by DSL","https://github.com/infiniflow/ragflow#key-features"
"CAP-028","RAG runtime","Retrieval","Hybrid search reranking and citation assembly","verified_partial","docs/tasks/sprint-4-rag-runtime/verification.md; docs/planning/components/document-plane-plan.md","high","delegate","Use RAGFlow vector plus BM25 fused reranking and citation metadata","650","0","220","430","high","Official feature is a direct match","Validate citation document IDs against authorized version mappings","https://github.com/infiniflow/ragflow#key-features"
"CAP-029","Phase 2.5 Part 5","Ingestion","Unified source mapping normalization and change detection","verified","docs/tasks/phase-2-5-part-5-source-mapping-index-journey/plan.md; docs/tasks/phase-2-5-part-5-source-mapping-index-journey/verification.md","partial","hybrid","Use RAGFlow ingestion pipelines but keep AgentHub source contracts and mapping governance","500","0","340","160","medium","Transform execution overlaps; source governance does not","Mappings remain allowlisted and secrets stay in AgentHub references","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-030","Phase 2 P7.4","Connectors","Governed Confluence Data Center synchronization","verified_offline","docs/tasks/phase-2-p7-4-connectors/plan.md; docs/tasks/phase-2-p7-4-connectors/verification.md","high","hybrid","Use RAGFlow Confluence synchronization where deployment and auth mode fit","700","0","300","400","medium","Official source sync overlaps traversal and ingestion","Private egress SSRF CA credentials and per-source grants stay AgentHub-controlled","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-031","Phase 2 P7.4b","Connectors","Generic REST source closed mapping and bounded fetch","verified_offline","docs/tasks/phase-2-p7-4b-generic-rest-periodic-sync/plan.md; docs/tasks/phase-2-p7-4b-generic-rest-periodic-sync/verification.md","partial","hybrid","Keep AgentHub generic REST transport unless RAGFlow datasource contract covers the target","300","0","320","-20","low","RAGFlow datasource breadth exists but generic mapping parity is uncertain","AgentHub SSRF-safe allowlisted transport remains authoritative","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-032","Phase 2 P7.4b","Connectors","Periodic incremental refresh vector reuse and candidate promotion","verified_offline","docs/tasks/phase-2-p7-4b-generic-rest-periodic-sync/plan.md; docs/tasks/phase-2-p7-4b-generic-rest-periodic-sync/verification.md","high","hybrid","Use RAGFlow source synchronization and ingestion pipeline scheduling","650","0","300","350","medium","Sync and incremental ingestion overlap; promotion contract stays","No automatic publication without AgentHub approval gate","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-033","Phase 2.6 P2.6.10","Ingestion","Durable ingestion jobs retries cancellation readiness and recovery","verified_with_operational_gap","docs/tasks/phase-2-6-ingestion-operational-lifecycle/plan.md; docs/tasks/phase-2-6-ingestion-operational-lifecycle/verification.md","partial","hybrid","Use RAGFlow task status for execution but retain AgentHub durable job projection and recovery policy","400","0","360","40","low","API task semantics and restart guarantees need a version-specific spike","AgentHub owns cancellation authorization retry policy and terminal audit","https://github.com/infiniflow/ragflow"
"CAP-034","Phase 2.6 P2.6.10 activation","Ingestion","Live ingestion worker restart and activation drills","partially_verified","docs/tasks/phase-2-6-part-10-activation-closure/plan.md; docs/tasks/phase-2-6-part-10-activation-closure/verification.md","partial","hybrid","Replace some Celery-specific drills with RAGFlow service recovery drills","120","120","220","20","low","Avoided future drill code offset by new topology checks","Deployment must prove queue recovery and no cross-tenant task leakage","https://github.com/infiniflow/ragflow#self-hosting"
"CAP-035","Phase 2.8 Part 5","Documents","Document profiles source-to-set mapping and automatic index activation","planned","docs/tasks/phase-2-8-part-5-document-profiles-index-automation/plan.md; docs/tasks/phase-2-8-part-5-document-profiles-index-automation/verification.md","high","delegate_with_control_plane","Use RAGFlow datasets ingestion pipelines and source sync behind AgentHub profiles","0","1000","360","640","medium","Major planned overlap; estimate represents avoided future code","AgentHub approves profile mapping activation and destructive cleanup","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-036","Phase 2 P5","RAG","Real retrieval wired into agents and workflows","verified","docs/tasks/phase-2-p5-agent-workflow-rag/plan.md; docs/tasks/phase-2-p5-agent-workflow-rag/verification.md","high","delegate_execution","Use RAGFlow retrieval or agent components as the RAG execution provider","500","0","240","260","medium","Provider wiring can consolidate","AgentHub passes only authorized release-pinned datasets","https://github.com/infiniflow/ragflow#key-features"
"CAP-037","Sprint 6","Evaluation","Deterministic evaluation suites isolated candidate runs and reports","verified","docs/tasks/sprint-6-eval-promotion-rollback/plan.md; docs/tasks/sprint-6-eval-promotion-rollback/verification.md","partial","retain_agenthub_use_ragflow_target","Run cases against RAGFlow but keep assertions promotion gates and reports in AgentHub","180","0","220","-40","medium","Candidate execution provider changes; governance remains","Evaluation cannot grant promotion and must use redacted authorized fixtures","https://github.com/infiniflow/ragflow"
"CAP-038","Phase 2.8 Part 6","Evaluation","Question sets evaluation campaigns optional judge and comparison UX","planned","docs/tasks/phase-2-8-part-6-question-sets-evaluation/plan.md; docs/tasks/phase-2-8-part-6-question-sets-evaluation/verification.md","partial","hybrid","Use RAGFlow apps as targets while implementing question-set governance in AgentHub","0","300","260","40","low","RAGFlow target execution avoids some harness code but not product workflow","Judge egress and promotion decisions remain explicitly gated","https://github.com/infiniflow/ragflow"
"CAP-039","Sprint 8","Workflow","Strict workflow artifact deterministic compiler and release pins","verified","docs/tasks/sprint-8-workflow-core/plan.md; docs/tasks/sprint-8-workflow-core/verification.md","partial","retain_agenthub","RAGFlow visual workflows are not proven byte-stable or compatible with AgentHub release contracts","180","0","260","-80","medium","Only provider-specific node compilation may move","AgentHub compiler remains admission and capability boundary","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-040","Sprint 8; Phase 2.8 Part 3","Workflow","Asynchronous DAG execution durable run events status and cancellation","verified_but_replacement_in_progress","docs/tasks/sprint-8-workflow-core/verification.md; docs/tasks/phase-2-8-part-3-unified-workflow-engine/plan.md","high","hybrid","Delegate eligible DAG execution to RAGFlow while projecting runs into AgentHub","1200","0","520","680","medium","Large runtime overlap but durable contract translation is substantial","AgentHub owns run authorization idempotency cancellation and redaction","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-041","Phase 2.6 P2.6.1","Workflow","Typed state mapping and governed transforms","verified","docs/tasks/phase-2-6-part-1-typed-state-mapping/plan.md; docs/tasks/phase-2-6-part-1-typed-state-mapping/verification.md","partial","hybrid","Map safe transforms to RAGFlow variables and ingestion or agent components","300","0","280","20","medium","Execution overlap but schema and allowlist stay","No arbitrary expression or code execution through translated mappings","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-042","Phase 2.6 P2.6.2","Workflow","Parallel split join bounded collection and early join","verified","docs/tasks/phase-2-6-part-2-parallel-join/plan.md; docs/tasks/phase-2-6-wave-2-integration/verification.md","high","delegate_eligible_workflows","Use RAGFlow workflow orchestration for parallel branches where semantics match","500","0","320","180","low","Official orchestration exists but exact join semantics need contract tests","Preserve resource budgets cancellation and deterministic merge rules","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-043","Phase 2.6 P2.6.3","Workflow","Durable human timer and event waits with restart recovery","verified_with_live_gap","docs/tasks/phase-2-6-part-3-durable-waits/plan.md; docs/tasks/phase-2-6-part-3-durable-waits/verification.md","low","retain_agenthub","RAGFlow roadmap still lists workflow checkpoint support as backlog evidence","0","0","120","-120","high","No safe deletion until durable checkpoint equivalence exists","AgentHub remains source of truth for wait authorization expiry and recovery","https://github.com/infiniflow/ragflow/issues/12241"
"CAP-044","Phase 2.6 P2.6.4","Workflow","Failure classification retry policy and compensation","verified","docs/tasks/phase-2-6-part-4-failure-retry-compensation/plan.md; docs/tasks/phase-2-6-part-4-failure-retry-compensation/verification.md","partial","hybrid","Use RAGFlow component errors but retain AgentHub retry and compensation policy","220","0","260","-40","low","Error taxonomy parity is uncertain","Never retry non-idempotent tools without reconciliation proof","https://github.com/infiniflow/ragflow"
"CAP-045","Phase 2.6 P2.6.5","Workflow","Pinned child workflow and agent composition with attenuation","verified_disabled_by_default","docs/tasks/phase-2-6-part-5-child-composition/plan.md; docs/tasks/phase-2-6-wave-2-integration/verification.md","high","hybrid","RAGFlow supports unified agent/workflow composition but AgentHub admission remains","500","0","340","160","medium","Execution recursion can move","Capabilities depth budgets and child release pins are enforced before dispatch","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-046","Sprint 10","Agents","Bounded guarded agent runtime with pinned tools","verified","docs/tasks/sprint-10-agent-runtime/plan.md; docs/tasks/sprint-10-agent-runtime/verification.md","high","delegate_execution","Run eligible agents in RAGFlow while retaining AgentHub compiled policy envelope","900","0","420","480","medium","Agent loop and model/tool orchestration strongly overlap","Only approved tools datasets budgets and prompt versions enter RAGFlow","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-047","Phase 2.6 P2.6.6","Agents","Advanced governed loop verify escalate budgets and no-progress guards","verified","docs/tasks/phase-2-6-part-6-governed-agent-loop/plan.md; docs/tasks/phase-2-6-part-6-governed-agent-loop/verification.md","partial","hybrid","Use RAGFlow planning/reflection under an AgentHub step and budget supervisor","500","0","480","20","low","Core loop can move but guard equivalence is not documented","AgentHub enforces action allowlist kill switch and terminal budgets","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-048","Phase 2.6; Phase 2.8 Part 7","Operations","Database-backed global and scoped kill switches","verified_and_planned_unification","docs/tasks/phase-2-6-part-6-governed-agent-loop/verification.md; docs/tasks/phase-2-8-part-7-unified-runs-kill-switch/plan.md","none","retain_agenthub","RAGFlow stop controls do not replace an independent platform kill switch","0","0","100","-100","high","Downstream cancel adapter only","Kill switch evaluation must occur before every delegated start or continuation","https://github.com/infiniflow/ragflow"
"CAP-049","Phase 2.6 P2.6.8","Workflow","Reviewed scenario-authored Python nodes in isolated runner","contract_verified_runtime_gated","docs/tasks/phase-2-6-authoring-and-python-nodes/plan.md; docs/tasks/phase-2-6-authoring-and-python-nodes/verification.md","high","consider_delegate","RAGFlow sandbox code executor could replace runner execution if isolation is attested","0","700","380","320","low","Current runtime remains gated; future runner code may be avoided","gVisor or equivalent isolation resource limits network denial and audit are mandatory","https://github.com/infiniflow/ragflow#self-hosting"
"CAP-050","Sprint 11; Phase 2.5 Part 6","Authoring","Visual workflow builder JSON graph editing diagnostics and node schemas","verified","docs/tasks/sprint-11-workflow-builder/plan.md; docs/tasks/phase-2-5-part-6-scenario-studio-json-graph/verification.md","high","consider_replace_ui","RAGFlow offers visual agent and workflow authoring but replacing AgentHub UX is a product decision","1000","0","480","520","low","UI overlap is high; integration and compatibility cost is also high","Never let RAGFlow publication bypass AgentHub validation and release approval","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-051","Phase 2.5 Part 6","Authoring","Scenario-isolated drafts optimistic concurrency validation and immutable publish candidate","verified","docs/tasks/phase-2-5-part-6-scenario-studio/plan.md; docs/tasks/phase-2-5-part-6-scenario-studio/verification.md","partial","retain_agenthub","Use RAGFlow as execution target not canonical scenario authoring system","180","0","260","-80","medium","Some graph serialization may move but lifecycle stays","Scenario ownership concurrency and publish authority stay AgentHub-side","https://github.com/infiniflow/ragflow"
"CAP-052","Phase 2 P10","Authoring","AI-assisted workflow input output and contract candidate generation","verified_offline","docs/tasks/phase-2-p10-ai-assisted-authoring/plan.md; docs/tasks/phase-2-p10-ai-assisted-authoring/verification.md","partial","hybrid","RAGFlow agent may generate candidates but AgentHub validates and requires explicit acceptance","250","0","220","30","medium","Generation orchestration overlaps; candidate contracts remain","Generated output is untrusted and cannot publish or select privileged resources","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-053","Phase 2.6 P2.6.9","Authoring","Context-aware Studio planning transient graph and diagnostics","partially_verified","docs/tasks/phase-2-6-part-9-studio-authoring-context/plan.md; docs/tasks/phase-2-6-part-9-studio-authoring-context/verification.md","partial","hybrid","Use a RAGFlow agent for planning while retaining bounded scenario context and transient acceptance flow","280","0","260","20","low","Planner execution can move; context assembly and conformance remain","No persistent change until explicit authorized AgentHub save","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-054","Phase 2.8 Part 3","Architecture","Unify RAG workflow and agent execution on one workflow engine","in_progress_contract_only","docs/tasks/phase-2-8-part-3-unified-workflow-engine/plan.md; docs/tasks/phase-2-8-part-3-unified-workflow-engine/verification.md","high","strategic_candidate","Adopting RAGFlow as the eligible execution engine could avoid a large internal convergence rewrite","0","1500","650","850","low","Future-code estimate from planned compiler runtime and cutover scope","Requires ADR compatibility matrix destructive migration approval and rollback proof","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-055","Phase 2.8 Part 4","Authoring","Unified scenario authoring validation release and activation experience","planned","docs/tasks/phase-2-8-part-4-scenario-authoring-release-experience/plan.md; docs/tasks/phase-2-8-part-4-scenario-authoring-release-experience/verification.md","partial","hybrid","Embed or deep-link RAGFlow authoring only for engine details; keep AgentHub product flow","0","350","300","50","low","Some future engine-specific UI avoided","Authorization publication and immutable release stay AgentHub-side","https://github.com/infiniflow/ragflow"
"CAP-056","Phase 2.8 Part 7","Operations","Unified runs search status cancellation and kill-switch UX","planned","docs/tasks/phase-2-8-part-7-unified-runs-kill-switch/plan.md; docs/tasks/phase-2-8-part-7-unified-runs-kill-switch/verification.md","partial","hybrid","Project RAGFlow runs into AgentHub unified run records and UI","0","240","280","-40","low","Downstream run UI avoided but projection and correlation added","AgentHub authorization controls all visibility and cancellation","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-057","Phase 2 P8; Phase 2.5","Console","Document source set binding index and purge console","verified","docs/tasks/phase-2-p8-console-ui/plan.md; docs/tasks/phase-2-p8-console-ui/verification.md","partial","retain_agenthub","Keep AgentHub console and call RAGFlow APIs behind it","220","0","260","-40","medium","Some parser/index detail views can be removed","UI never receives RAGFlow admin credentials or bypasses server checks","https://ragflow.io/docs/category/user-guides"
"CAP-058","Phase 2 P9; Phase 2.8 Part 1","Console","Turkish responsive navigation workspace IA and status dashboard","verified","docs/tasks/phase-2-p9-console-ux/verification.md; docs/planning/archive/phase-2-8-part-1-console-information-architecture-2026-07-22/verification.md","none","retain_agenthub","RAGFlow UI cannot replace AgentHub organization-centric product shell","0","0","0","0","high","Distinct product capability","No change","https://github.com/infiniflow/ragflow"
"CAP-059","Phase 2.6 Part 11","Operations","Studio eval operations integration and enterprise acceptance pack","partially_verified","docs/tasks/phase-2-6-part-11-product-operational-closure/plan.md; docs/tasks/phase-2-6-part-11-product-operational-closure/verification.md","partial","hybrid","Reuse RAGFlow runtime logs and management views as evidence inputs","120","0","180","-60","low","Some runtime diagnostics overlap","Acceptance still requires AgentHub authorization recovery audit and Turkish journey evidence","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-060","Sprint 7; Phase 2.7 Part 2","MCP","AgentHub MCP server with REST parity and Streamable HTTP or SSE","verified","docs/tasks/sprint-7-mcp-metrics-operations/verification.md; docs/tasks/phase-2-7-part-2-mcp-streamable-transport/verification.md","high","hybrid","Use RAGFlow MCP server for dataset retrieval while retaining AgentHub MCP gateway for governed capabilities","300","0","240","60","medium","Dataset-specific MCP handlers can move","AgentHub authenticates and exposes only authorized dataset tools","https://ragflow.io/docs/category/developer-guides"
"CAP-061","Phase 2.6 P2.6.7","MCP","Governed MCP catalog synchronization quarantine and grants","verified_with_deployment_gate","docs/tasks/phase-2-6-part-7-mcp-catalog-sync/plan.md; docs/tasks/phase-2-6-part-7-mcp-catalog-sync/verification.md","partial","hybrid","Import RAGFlow MCP metadata but retain quarantine review grants and ownership","150","0","220","-70","medium","Transport discovery overlaps but governance does not","Never auto-enable imported tools or trust advertised schemas","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
